Place.id,strata_id,Location.name.in.English,Location.name.in.Arabic,Latitude,Longitude,COD_Subdistrict,district_mcna,governorate_mcna
20338,Al-Najaf,AL JEDAIDA,??????? 4,31.9902017,44.31782205,Markaz Al-Najaf,al.najaf,al.najaf
20287,Al-Najaf,Al-Ghadeer Village complex,???? ???? ??????,32.09036773,44.33345076,Markaz Al-Najaf,al.najaf,al.najaf
20122,Al-Najaf,Hay missan 230,?? ????? 230,32.06442413,44.36229196,Markaz Al-Najaf,al.najaf,al.najaf
25568,Al-Diwaniya,Hay Al-Amin 2,?? ?????? 2,32.00629877,44.84477322,Al-Saniya,al.diwaniya,al.qadissiya
25070,Al-Diwaniya,Hay Al-Hussain,?? ??????,32.0701463,44.76765688,Al-Saniya,al.diwaniya,al.qadissiya
24436,Al-Diwaniya,Albo Hasan village,???? ???? ???,32.02082742,44.81889837,Al-Saniya,al.diwaniya,al.qadissiya
24903,Al-Diwaniya,Hay Al Sadir 2,?? ????? ??????,32.00637806,44.93735746,Markaz Al-Diwaniya,al.diwaniya,al.qadissiya
2943,Al-Diwaniya,Al hamad village,???? ?????,32.00409165,44.99900237,Markaz Al-Diwaniya,al.diwaniya,al.qadissiya
22815,Al-Diwaniya,Hay Al Jumhori Al Sharqi,?? ???????? ??????,31.99175319,44.92138221,Markaz Al-Diwaniya,al.diwaniya,al.qadissiya
22326,Al-Diwaniya,Al Mojamaa Al Sakani,?????? ??????,31.98188312,44.97298646,Markaz Al-Diwaniya,al.diwaniya,al.qadissiya
23681,Al-Diwaniya,Hay Al Furat-2,?? ?????? ???????,32.02006081,44.90036536,Markaz Al-Diwaniya,al.diwaniya,al.qadissiya
23715,Al-Diwaniya,Hay Al-Hadarah,?? ???????,32.01567693,44.9173569,Markaz Al-Diwaniya,al.diwaniya,al.qadissiya
22452,Al-Diwaniya,Qaryat Al Ensaf,???? ???????,31.99916497,45.01540678,Markaz Al-Diwaniya,al.diwaniya,al.qadissiya
25509,Al-Diwaniya,Al-Taamem-2,??????? ???????,31.97978115,44.94216732,Markaz Al-Diwaniya,al.diwaniya,al.qadissiya
5808,Al-Sulaymaniyah,Bazyan-shwankara,??????-????????,35.5657573,45.1954297,Bazian,al.sulaymaniyah,al.sulaymaniyah
5930,Al-Sulaymaniyah,Wluba 326,????? 326,35.5342375,45.4295163,Qaradagh,al.sulaymaniyah,al.sulaymaniyah
23926,Al-Sulaymaniyah,Dargazen,??????,35.5523088,45.4402254,Qaradagh,al.sulaymaniyah,al.sulaymaniyah
21021,Al-Sulaymaniyah,Sabun karan Qt,???? ????,35.5540113,45.4456441,Qaradagh,al.sulaymaniyah,al.sulaymaniyah
5122,Al-Sulaymaniyah,Arbat-Kharajian,????-??????,35.4650972,45.567977,Qaradagh,al.sulaymaniyah,al.sulaymaniyah
5744,Al-Sulaymaniyah,Bardakar,???? ??,35.4513021,45.4479993,Qaradagh,al.sulaymaniyah,al.sulaymaniyah
21033,Al-Sulaymaniyah,Tavga,?????,35.5983231,45.3944926,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
21036,Al-Sulaymaniyah,Farmanbaran,?????????,35.5897164,45.4053795,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
5737,Al-Sulaymaniyah,Awbara,??????,35.5515613,45.3801727,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
33357,Al-Sulaymaniyah,Mushirawa 406 & 206,???????? 406&206,35.5571112,45.416484,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
4441,Al-Sulaymaniyah,Sarchnar,??????,35.5802839,45.3835801,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
33348,Al-Sulaymaniyah,Chwar chra New,???? ??? ???,35.5465155,45.3972155,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
24816,Al-Sulaymaniyah,Saib City,???? ???,35.5342187,45.4131846,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
24255,Al-Sulaymaniyah,Sarwary 142,????? 142,35.5834097,45.416355,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
31982,Al-Sulaymaniyah,Handren 109,?????? 109,35.5662087,45.4024649,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
31988,Al-Sulaymaniyah,Khwar kurdsat 134,???? ??????? 134,35.5827336,45.4378381,Sarchnar,al.sulaymaniyah,al.sulaymaniyah
21719,Chamchamal,Shahidan,??????,35.7458189,44.8987014,Agjalare,chamchamal,al.sulaymaniyah
3461,Chamchamal,hashazini,???? ????,35.4038402,45.1180675,Cenkaw,chamchamal,al.sulaymaniyah
33380,Chamchamal,Awa Spi,??? ???,35.0232578,45.1011726,Kadr Karam,chamchamal,al.sulaymaniyah
24894,Chamchamal,Chamchamal-Raparin,??????-??????,35.52360502,44.822298,Markaz Chamchamal,chamchamal,al.sulaymaniyah
6159,Chamchamal,Chamchamal-Rizgari,??????-??????,35.53982645,44.8236395,Markaz Chamchamal,chamchamal,al.sulaymaniyah
21976,Chamchamal,Ashti,????,35.53578579,44.8256465,Markaz Chamchamal,chamchamal,al.sulaymaniyah
24688,Chamchamal,Asuda,?????,35.5269308,44.8137438,Markaz Chamchamal,chamchamal,al.sulaymaniyah
21717,Chamchamal,Qadir Kir Mikan,???????????,35.5037607,44.8523393,Markaz Chamchamal,chamchamal,al.sulaymaniyah
24250,Chamchamal,Qarahanjiriakan,???????????,35.5032536,44.8426528,Markaz Chamchamal,chamchamal,al.sulaymaniyah
4933,Chamchamal,Piryadi,???????,35.5130974,44.8489363,Markaz Chamchamal,chamchamal,al.sulaymaniyah
20813,Chamchamal,SANGAWIAKAN,?????????,35.51058,44.8367107,Markaz Chamchamal,chamchamal,al.sulaymaniyah
24813,Chamchamal,Takya-Azadi,????-?????,35.6238672,44.9548877,Markaz Chamchamal,chamchamal,al.sulaymaniyah
6301,Derbendikhan,Hawara barza,????????,35.1241329,45.6826464,Markaz Derbendikhan,derbendikhan,al.sulaymaniyah
24251,Derbendikhan,Kanito,???? ???,35.1124805,45.6896322,Markaz Derbendikhan,derbendikhan,al.sulaymaniyah
29515,Derbendikhan,Shoresh,????,35.1140736,45.6796988,Markaz Derbendikhan,derbendikhan,al.sulaymaniyah
24670,Derbendikhan,Sara,???,35.1079729,45.6886106,Markaz Derbendikhan,derbendikhan,al.sulaymaniyah
24253,Derbendikhan,Campe khwarw,???? ?????,35.0974312,45.6949014,Markaz Derbendikhan,derbendikhan,al.sulaymaniyah
29517,Derbendikhan,Khelan,?????,35.1101359,45.6839061,Markaz Derbendikhan,derbendikhan,al.sulaymaniyah
22996,Derbendikhan,Mamostayan,??????????,35.3198684,45.6948361,Markaz Derbendikhan,derbendikhan,al.sulaymaniyah
23078,Derbendikhan,Rezgari,??????,35.3217373,45.6791641,Markaz Derbendikhan,derbendikhan,al.sulaymaniyah
5000,Dokan,Shekh Mansourian,??? ????????,36.07103,44.7817368,Gnareen,dokan,al.sulaymaniyah
23721,Dokan,Chawa spy,?????,35.9313984,44.9690877,Gnareen,dokan,al.sulaymaniyah
23923,Dokan,Sarcham,????,35.9279122,44.9622742,Gnareen,dokan,al.sulaymaniyah
23924,Dokan,Banwan,??????,35.9328361,44.9642292,Gnareen,dokan,al.sulaymaniyah
5068,Dokan,Topzawa,???????,35.9572654,44.9861496,Sourdash,dokan,al.sulaymaniyah
24554,Dokan,Tokma,?????,35.7246294,45.1440548,Sourdash,dokan,al.sulaymaniyah
24213,Dokan,Sara,???,35.7270477,45.1524679,Sourdash,dokan,al.sulaymaniyah
23333,Dokan,Pishowa,?????,35.7378464,45.1423851,Sourdash,dokan,al.sulaymaniyah
6305,Dokan,Shaheedan,??????,35.7314435,45.1374075,Sourdash,dokan,al.sulaymaniyah
3593,Dokan,Timar,?????,35.8574417,45.0769418,Sourdash,dokan,al.sulaymaniyah
5238,Dokan,Mergapan,???????,35.7956429,45.2535359,Sourdash,dokan,al.sulaymaniyah
22460,Halabcha,Ardalan,??????,35.2991993,46.0343419,Khourmal,halabcha,al.sulaymaniyah
21862,Halabcha,Gulan,????? ,35.1744373,45.9810664,Markaz Halabja,halabcha,al.sulaymaniyah
21961,Halabcha,Kani ishqan,???? ??????,35.1696168,45.983114,Markaz Halabja,halabcha,al.sulaymaniyah
21863,Halabcha,Mamostaian,??????????,35.1822314,45.993632,Markaz Halabja,halabcha,al.sulaymaniyah
21857,Halabcha,Sharwani,???????,35.1891217,45.9950623,Markaz Halabja,halabcha,al.sulaymaniyah
21962,Halabcha,Marzboto,???? ????,35.1819165,45.9844709,Markaz Halabja,halabcha,al.sulaymaniyah
21960,Halabcha,Farmanbaran,?????????,35.185482,45.9802875,Markaz Halabja,halabcha,al.sulaymaniyah
25757,Halabcha,Darwazay Shar,?????? ???,35.1993777,45.9665141,Markaz Halabja,halabcha,al.sulaymaniyah
31863,Halabcha,Shahidan,??????,35.2543788,45.9398683,Markaz Halabja,halabcha,al.sulaymaniyah
31862,Halabcha,Raparine,??????,35.2555589,45.9361248,Markaz Halabja,halabcha,al.sulaymaniyah
25647,Halabcha,Grda naze village,???? ??? ????,35.3424268,45.9255147,Shahrazur,halabcha,al.sulaymaniyah
22920,Halabcha,Hassar,????,35.3515587,45.8727816,Shahrazur,halabcha,al.sulaymaniyah
24096,Halabcha,Barkew,?????,35.3553403,45.8688337,Shahrazur,halabcha,al.sulaymaniyah
23767,Kalar,Goran,?????,34.63677433,45.3383341,Markaz Kalar,kalar,al.sulaymaniyah
32001,Kalar,Mamostayan,??????????,34.634237,45.3205974,Markaz Kalar,kalar,al.sulaymaniyah
6286,Kalar,Kalar Kon,???? ???,34.63803133,45.3031242,Markaz Kalar,kalar,al.sulaymaniyah
23769,Kalar,Sherwana,???????,34.61085768,45.3166238,Markaz Kalar,kalar,al.sulaymaniyah
5995,Kalar,Grda Gozina,???? ??????,34.58637894,45.2896874,Markaz Kalar,kalar,al.sulaymaniyah
24890,Kalar,Sirwan,??????,34.6223123,45.3304388,Markaz Kalar,kalar,al.sulaymaniyah
3939,Kalar,Barda Sur,??????,34.64159387,45.3475832,Markaz Kalar,kalar,al.sulaymaniyah
24962,Kalar,Sharawani,???????,34.63964372,45.3129032,Markaz Kalar,kalar,al.sulaymaniyah
31929,Kalar,Zhalla,????,34.65595341,45.2575523,Markaz Kalar,kalar,al.sulaymaniyah
31932,Kalar,Azadi,?????,34.65783716,45.2387876,Markaz Kalar,kalar,al.sulaymaniyah
21861,Kalar,Garmyan,??????,34.66004781,45.2319431,Markaz Kalar,kalar,al.sulaymaniyah
21852,Kalar,Awbarik,???????,34.6656446,45.241458,Markaz Kalar,kalar,al.sulaymaniyah
25298,Rania,Koling city,????? ???,36.2287787,44.8485077,Markaz Rania,rania,al.sulaymaniyah
25293,Rania,Raparine,??????,36.20458,44.8215052,Markaz Rania,rania,al.sulaymaniyah
25297,Rania,Rozhhalat,???????,36.2114866,44.836857,Markaz Rania,rania,al.sulaymaniyah
5568,Rania,kurdistan,????????,36.2205991,44.8359597,Markaz Rania,rania,al.sulaymaniyah
25296,Rania,Qandil,?????,36.2097303,44.8337084,Markaz Rania,rania,al.sulaymaniyah
29686,Rania,Saraa,????,36.2112346,44.8277604,Markaz Rania,rania,al.sulaymaniyah
31869,Rania,Azadi 2,????? 2,36.2527794,44.8751276,Markaz Rania,rania,al.sulaymaniyah
25522,Rania,Kewa Rash,????? ?,36.2633631,44.8813414,Markaz Rania,rania,al.sulaymaniyah
24814,Rania,Mamostayan,??????????,36.2589441,44.8900763,Markaz Rania,rania,al.sulaymaniyah
24101,Rania,Nawroz,?????,36.2494431,44.8741161,Markaz Rania,rania,al.sulaymaniyah
24984,Al-Mussyab,Hay Al-Rafedain,????? ??????????-?? ????????,32.88290099,44.34190731,Al-Iskandaria,al.mussyab,babil
24985,Al-Mussyab,Hay Alaskarey,????? ??????????-?? ???????,32.88258483,44.34809365,Al-Iskandaria,al.mussyab,babil
25613,Al-Mussyab,Al-Iskandaria-Hay Al-Muthana,?? ??????,32.88429675,44.38653827,Al-Iskandaria,al.mussyab,babil
24296,Al-Mussyab,Al Iskandariyah Area-Mowelha,????? ??????????-??????,32.87783,44.41548,Al-Iskandaria,al.mussyab,babil
24707,Al-Mussyab,Hay Al Ataba,?? ???????,32.79055304,44.27722478,Jurf Al-Sakhar,al.mussyab,babil
7126,Al-Mussyab,Al Hamiyah-Al Mutaqedin 1,???????-?????????? 1,32.81393002,44.26428293,Jurf Al-Sakhar,al.mussyab,babil
24165,Al-Mussyab,Al Hamiyah-Oayef village,???????-???? ????,32.80751183,44.26748722,Jurf Al-Sakhar,al.mussyab,babil
26119,Al-Mussyab,Hay Al Ghadeer 3,?????? 3,32.78266858,44.26577385,Jurf Al-Sakhar,al.mussyab,babil
24171,Al-Mussyab,Hay Al Moatnen 3,?? ????????? 3,32.78355036,44.26641899,Jurf Al-Sakhar,al.mussyab,babil
29582,Al-Mussyab,Hay Al Moatnen 1,?? ????????? 1,32.78803072,44.26797728,Jurf Al-Sakhar,al.mussyab,babil
7220,Al-Mussyab,Albo Hamdan,???? ?????,32.78539749,44.28417791,Jurf Al-Sakhar,al.mussyab,babil
26125,Al-Mussyab,Hay Al Ghadeer 1,?????? 1,32.78810361,44.26738627,Jurf Al-Sakhar,al.mussyab,babil
27255,Al-Adhamiya,Hay Al Rabee-334,?? ??????-334,33.40111532,44.35124615,Al-Fahama,al.adhamiya,baghdad
25394,Al-Adhamiya,Bob Al Sham-361,??? ?????-361,33.46695109,44.38525036,Al-Fahama,al.adhamiya,baghdad
24176,Al-Adhamiya,Hay Al Rabee-332,?? ??????-332,33.39802228,44.3537499,Al-Fahama,al.adhamiya,baghdad
25397,Al-Adhamiya,Bob Al Sham-365,??? ?????-365,33.44643956,44.38621141,Al-Fahama,al.adhamiya,baghdad
22777,Al-Adhamiya,Hay Al Rabee-340,?? ??????-340,33.40538339,44.3593348,Al-Fahama,al.adhamiya,baghdad
22538,Al-Adhamiya,Tunis-330,????-330,33.40567668,44.36590738,Al-Fahama,al.adhamiya,baghdad
23728,Al-Adhamiya,Adhamiya-310,????????-310,33.36576245,44.35338848,Markaz Al-Adhamiya,al.adhamiya,baghdad
7730,Al-Adhamiya,Adhamia-312,????????-312,33.3702673,44.35609192,Markaz Al-Adhamiya,al.adhamiya,baghdad
23999,Al-Adhamiya,Al Qahira-307,???????-307,33.37876786,44.39037264,Markaz Al-Adhamiya,al.adhamiya,baghdad
24003,Al-Adhamiya,Al Shamasiyah-320,????????-320,33.38242472,44.37745988,Markaz Al-Adhamiya,al.adhamiya,baghdad
7717,Al-Adhamiya,Adhamia-308,????????-308,33.36889192,44.36206417,Markaz Al-Adhamiya,al.adhamiya,baghdad
23646,Al-Adhamiya,Adhamia-314,????????-314,33.37231728,44.36462593,Markaz Al-Adhamiya,al.adhamiya,baghdad
24002,Al-Adhamiya,Al Shamasiyah-316,????????-316,33.37283799,44.37454008,Markaz Al-Adhamiya,al.adhamiya,baghdad
24004,Al-Adhamiya,Al Maghreb-302,??????-302,33.35775724,44.38098462,Markaz Al-Adhamiya,al.adhamiya,baghdad
23867,Al-Kadhmiyah,Al-Nasir Walsalam-1000,????? ???????-1000,33.30058432,44.04183549,Abu Ghraib,al.kadhmiyah,baghdad
31711,Al-Kadhmiyah,Al Zaidan-Al sultan village,???????-???? ???????,33.2687573,44.04619052,Abu Ghraib,al.kadhmiyah,baghdad
25126,Al-Kadhmiyah,Khan Dhari Center,??? ???? ????,33.2994514,44.05792398,Abu Ghraib,al.kadhmiyah,baghdad
21173,Al-Kadhmiyah,1 Athar,1 ????,33.30332135,44.18543633,Abu Ghraib,al.kadhmiyah,baghdad
31714,Al-Kadhmiyah,Shuhada Markza-Shuhdda the second,??????? ??????-????? ???????,33.30905301,44.15002481,Abu Ghraib,al.kadhmiyah,baghdad
7658,Al-Kadhmiyah,Al-Resalah,???????,33.29721044,44.11908434,Abu Ghraib,al.kadhmiyah,baghdad
27247,Al-Kadhmiyah,Al Shams complex,???? ?????,33.31451807,44.02124715,Abu Ghraib,al.kadhmiyah,baghdad
25185,Al-Kadhmiyah,Awad Al Hussain village,???? ???? ??????,33.55010522,44.19331218,Al-Taji,al.kadhmiyah,baghdad
27413,Al-Kadhmiyah,Al Ahnaf-Al Rakia Fadel village,??????-????? ?????,33.43497456,44.24392406,Al-Taji,al.kadhmiyah,baghdad
25164,Al-Kadhmiyah,Sabea Al Buor-8000,??? ?????-8000,33.45256226,44.15676736,Al-Taji,al.kadhmiyah,baghdad
24063,Al-Kadhmiyah,Al-Abayechi-1,????????-1,33.73487167,44.39270793,Al-Tarmiya,al.kadhmiyah,baghdad
21685,Al-Kadhmiyah,Al Khadraa village,???? ???????,33.67630777,44.37298674,Al-Tarmiya,al.kadhmiyah,baghdad
25424,Al-Kadhmiyah,Hai Al Qadessia-2,?? ????????-2,33.67153192,44.37190248,Al-Tarmiya,al.kadhmiyah,baghdad
25022,Al-Kadhmiyah,Al Gserin Village,???? ??????,33.69205073,44.43516278,Al-Tarmiya,al.kadhmiyah,baghdad
27312,Al-Kadhmiyah,Shoala-448,??????-448,33.36076863,44.29700415,Markaz Al-Kadhimiya,al.kadhmiyah,baghdad
24073,Al-Karkh,Shurtah Al Hader-846,???? ?????-846,33.24231078,44.40771872,Al-Mamoon,al.karkh,baghdad
7640,Al-Karkh,Hay al jamiyah (Al Masfi)-842,?? ???????-842(???????),33.25248127,44.42333828,Al-Mamoon,al.karkh,baghdad
23984,Al-Karkh,Al Toma(Al Masfi)-826,??????-826(???????),33.24922773,44.39374898,Al-Mamoon,al.karkh,baghdad
21460,Al-Karkh,Al Khadraa-639,???????-639,33.3202051,44.2975542,Al-Mansour,al.karkh,baghdad
24065,Al-Karkh,Al Ghazaliyah-685,????????-685,33.33179204,44.27015784,Al-Mansour,al.karkh,baghdad
23727,Al-Karkh,Al Jameah-627,???????-627,33.31017679,44.32510784,Al-Mansour,al.karkh,baghdad
21450,Al-Karkh,Al Amerya-634,????????-634,33.29144128,44.29513377,Al-Mansour,al.karkh,baghdad
21448,Al-Karkh,Al Amreya-630,????????-630,33.30167331,44.29399727,Al-Mansour,al.karkh,baghdad
25206,Al-Karkh,Al Khadraa-640,???????-640,33.32343766,44.29545214,Al-Mansour,al.karkh,baghdad
26041,Al-Karkh,Al Jameah-635,??????? 635,33.32690839,44.31788627,Al-Mansour,al.karkh,baghdad
27409,Al-Karkh,Al Saydia-835,???????-835,33.23276431,44.35908273,Al-Mansour,al.karkh,baghdad
27191,Al-Karkh,Al Resala-855,???????-855,33.24271644,44.32232939,Al-Mansour,al.karkh,baghdad
25221,Al-Karkh,Al Forat-893,??????-893,33.27592422,44.27631613,Al-Mansour,al.karkh,baghdad
26100,Al-Karkh,Hay Al Jehad-881,?? ??????-881,33.2811269,44.29810131,Al-Mansour,al.karkh,baghdad
27289,Al-Karkh,Al Salahiya-222,????????-222,33.32542042,44.39021553,Markaz Al-Karkh,al.karkh,baghdad
25150,Al-Mahmoudiya,Al Latefia-Al Qadessia,????????-?? ????????,32.9704057,44.35331546,Al-Latifya,al.mahmoudiya,baghdad
23618,Al-Mahmoudiya,14 Tamooz,?? 14 ????,32.96256919,44.3553264,Al-Latifya,al.mahmoudiya,baghdad
25149,Al-Mahmoudiya,Al Latefia-Al Salam,????????-??????,32.99962534,44.36111224,Al-Latifya,al.mahmoudiya,baghdad
7733,Al-Mahmoudiya,Hay Al Zuhoor,?? ??????,32.9673387,44.36388038,Al-Latifya,al.mahmoudiya,baghdad
25152,Al-Mahmoudiya,Kilo 18,???? 18,32.96327341,44.36306106,Al-Latifya,al.mahmoudiya,baghdad
7583,Al-Mahmoudiya,Hoor Rajab,??? ???,33.19381632,44.41457366,Al-Rasheed,al.mahmoudiya,baghdad
7587,Al-Mahmoudiya,Al Radwania,????? ?????????,33.14601121,44.29942013,Al-Rasheed,al.mahmoudiya,baghdad
29523,Al-Mahmoudiya,Hay Al Shuhada(Al kragolyia),?? ???????(?????????),33.06663345,44.23348447,Al-Yousifya,al.mahmoudiya,baghdad
27252,Al-Mahmoudiya,Hay Al Rasul,?? ??????,33.04667553,44.35823423,Markaz Al-Mahmoudiya,al.mahmoudiya,baghdad
24194,Al-Khalis,Dalli Abass-Al-Dhobat Qtr,??? ????-?? ??????,34.07345133,44.85486611,Al-Mansouriyah,al.khalis,diyala
25036,Al-Khalis,Hibhib-Al Shohadaa Qtr,????-?? ???????,33.78024649,44.51435203,Hibhib,al.khalis,diyala
10445,Al-Khalis,Markaz Hibhib,???? ????,33.78385382,44.5147,Hibhib,al.khalis,diyala
25032,Al-Khalis,Hibhib-Al Askary Qtr,???? ???????,33.78239452,44.51642267,Hibhib,al.khalis,diyala
25027,Al-Khalis,Hibhib-Al Asry Qtr,???? ??????,33.78093491,44.51431992,Hibhib,al.khalis,diyala
