log_number,X_uuid,cluster_location_id,date_assessment,governorate_mcna_r,district_mcna,enumerator_num,question.name,issue,action,changed,old.value,new.value,flag_index
30,3c23c73f-6c89-4b9c-8ada-8e4126e8b742,29614,30-Jul,NA,sumail,97,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
31,3f4ae12b-7469-4390-8009-808762e1dcef,11189,26-Jul,NA,baquba,1,num_hh_member,HH member should not be larger than 13,Flagged,NA,21,21,3
32,414a6be7-2994-4403-be73-0065490e510b,NA,27-Jul,al.sulaymaniyah,chamchamal,36,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
33,424fc1ae-2899-43ee-8563-e2ea681525bf,NA,10-Aug,salah.al.din,samarra,22,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
34,43764b16-8a23-4a6c-916d-9f20dbab2955,NA,23-Jul,baghdad,al.kadhmiyah,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
35,4565e79e-008e-456d-b6ad-afe583095ee9,NA,22-Jul,baghdad,al.kadhmiyah,27,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
35,43a5415a-3044-42d8-8516-29e4d606738b,24109,19-Sep,NA,haditha,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
36,492773f9-88df-40c3-9aa5-5d46759fab2a,NA,11-Aug,ninewa,telafar,106,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
36,44010faa-7146-404f-ac82-9dc62a4b6955,NA,15-Sep,ninewa,al.mosul,106,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
37,4c8b9c46-99ae-47e2-9cfe-03503039a359,24580,12-Aug,NA,aqra,94,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
38,4ccf5e92-066e-4f67-81b2-ad3b817f2eba,8369,30-Jul,NA,sumail,95,num_hh_member,HH member should not be larger than 13,Flagged,NA,20,20,3
39,4e522254-c659-404b-9f7e-12908b183906,17734,9-Aug,NA,aqra,92,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
40,50d72114-fb1b-4b9d-9d59-6bb9254baf8a,24580,10-Aug,NA,aqra,95,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
41,52faf5e7-ef99-451f-b908-ff0fd720db09,NA,29-Jul,al.anbar,al.rutba,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
42,53f27ef7-4b01-4ee0-9c9b-865d41b16ce9,17051,13-Aug,NA,al.shikhan,82,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
43,54682d6f-f78d-4d27-9206-9c8afa4a2ee2,18199,8-Aug,NA,al.shikhan,92,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
44,57e17a6b-9262-4480-a286-e29d139078c6,NA,23-Jul,al.sulaymaniyah,halabcha,36,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
45,58c111a1-9887-433d-bb70-fc636fe07cea,NA,26-Jul,ninewa,al.baaj,3,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
46,596192ef-1200-4e14-9a1b-56489da71b77,NA,12-Aug,babil,al.mussyab,19,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
47,5b7f5e45-553a-4558-b97f-b63ae06aa77e,17049,11-Aug,NA,al.shikhan,88,num_hh_member,HH member should not be larger than 13,Flagged,NA,19,19,3
48,5c88ae38-68df-4d32-b5ec-ab788d80a8ac,8783,10-Aug,NA,aqra,86,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
49,62f0c276-d74c-4bab-8225-a525a4d1a857,7835,13-Aug,NA,al.amadiya,93,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
50,635367d6-b9da-4796-8035-84023ddad2c5,17051,11-Aug,NA,al.shikhan,88,num_hh_member,HH member should not be larger than 13,Flagged,NA,26,26,3
51,636ed853-778f-43ee-9c01-a5acfc2b16d0,25992,7-Aug,NA,zakho,84,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
52,641bb68b-32d6-40db-9669-1dc25cb81617,NA,13-Aug,baghdad,al.mahmoudiya,18,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
53,68cde203-14bb-4dc7-a9ca-7bbd7f00649b,NA,27-Jul,baghdad,al.mahmoudiya,27,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
54,6976af32-0791-4625-bcc2-d156f0969b7b,17051,13-Aug,NA,al.shikhan,87,num_hh_member,HH member should not be larger than 13,Flagged,NA,21,21,3
55,6a896d3a-1e47-4bec-aec2-f39823d2b5ab,7770,13-Aug,NA,al.amadiya,85,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
56,6acf1905-4d50-4a77-9b63-85ab34c110c2,25278,8-Aug,NA,al.shikhan,85,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
57,6c6ef6ba-f066-4174-8170-1a9f634aaefd,17049,11-Aug,NA,al.shikhan,83,num_hh_member,HH member should not be larger than 13,Flagged,NA,24,24,3
58,6c860d09-55ab-4c1a-a6c2-0f07a0a0d619,24580,10-Aug,NA,aqra,96,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
59,6cd362ed-efe8-4b41-a26f-86e6b23ab86c,17049,11-Aug,NA,al.shikhan,88,num_hh_member,HH member should not be larger than 13,Flagged,NA,20,20,3
60,6ce5d9b9-f965-444b-bc9c-e8f305e05e2e,17734,9-Aug,NA,aqra,87,num_hh_member,HH member should not be larger than 13,Flagged,NA,29,29,3
61,6d666537-e65f-4eef-93bc-85d66f89777c,11206,29-Jul,NA,al.khalis,1,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
62,6e8fae56-ed04-40f6-a453-a37204bc80b8,12826,17-Aug,NA,erbil,8,num_hh_member,HH member should not be larger than 13,Flagged,NA,22,22,3
63,7282812e-8642-4e94-8dd0-9b8268bd839e,7835,13-Aug,NA,al.amadiya,93,num_hh_member,HH member should not be larger than 13,Flagged,NA,20,20,3
64,763f9c80-bb7f-45a2-b97c-3a0d54993b61,17333,7-Aug,NA,al.shikhan,87,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
65,76dc246f-def0-4691-8dff-06c94dacfa07,26047,28-Jul,NA,duhok,96,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
66,7b51f3f7-78e3-4404-a4d4-e254781003ff,17049,11-Aug,NA,al.shikhan,93,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
67,7d2a29fa-0d2a-4415-82f6-ada92f209f75,17045,12-Aug,NA,al.shikhan,87,num_hh_member,HH member should not be larger than 13,Flagged,NA,30,30,3
68,7e0bc89f-3452-4c07-b068-b172ca51ef4a,8369,30-Jul,NA,sumail,91,num_hh_member,HH member should not be larger than 13,Flagged,NA,23,23,3
68,79acc05c-b3ae-4f98-bb69-5244e840e82a,25650,14-Sep,NA,al.ramadi,14,num_hh_member,HH member should not be larger than 13,Flagged,NA,48,NA,3
69,7f7624cc-0365-4799-9ec3-99da2c4ab33a,12172,22-Aug,NA,shaqlawa,122,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
70,7fed4221-0ebf-4406-8a23-09315c89a2b5,11206,29-Jul,NA,al.khalis,3,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
71,825a17a8-0d09-4c16-8fb2-b6cbdd82881e,NA,26-Jul,baghdad,al.mahmoudiya,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
72,83b1c0f9-f796-4225-82c1-544ad5f8dda2,NA,14-Aug,baghdad,al.adhamiya,19,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
73,85805ccd-f2a9-4cb3-94cf-1d1b482d574c,7896,13-Aug,NA,al.amadiya,92,num_hh_member,HH member should not be larger than 13,Flagged,NA,19,19,3
74,85863e9a-6a5c-4226-8bf5-9ce8a63d53f3,17734,9-Aug,NA,aqra,91,num_hh_member,HH member should not be larger than 13,Flagged,NA,22,22,3
75,8e582c43-3cbf-4103-ba40-0c6c3651212b,17734,9-Aug,NA,aqra,96,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
76,8e63192c-f1da-4d76-b3f5-1442d6a34cdd,17051,13-Aug,NA,al.shikhan,87,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
77,97341e97-8b1c-44a3-bc43-e9fffd626a1e,NA,28-Jul,al.anbar,ana,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
78,983e2c30-94f9-4384-bb92-b3dfdb8437a8,NA,5-Aug,al.anbar,al.kaim,19,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
78,876cc672-c1e0-48d9-a21d-cee0fb6db32a,NA,16-Sep,ninewa,al.hatra,106,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
79,9892554f-2a27-450e-857a-6dc76641cc65,17734,9-Aug,NA,aqra,87,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
80,9ccc22db-724a-45f1-a1a7-fe84a26c3a0a,17049,11-Aug,NA,al.shikhan,83,num_hh_member,HH member should not be larger than 13,Flagged,NA,37,37,3
81,9eab3d2b-cb6c-4dcd-8b6b-fd0163d1928f,NA,22-Jul,baghdad,al.kadhmiyah,31,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
82,9f348ecc-e0d1-43f5-b552-85bca159e958,NA,15-Aug,kerbala,kerbela,11,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
83,9f6cd829-8a09-4595-9ce6-6e288130acfc,NA,5-Aug,ninewa,sinjar,107,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
84,a503702d-ac18-428f-bcb9-587ed3268c70,21004,28-Jul,NA,al.shirqat,71,num_hh_member,HH member should not be larger than 13,Flagged,NA,45,45,3
85,a7091a5f-4931-4125-bd37-5e1492ec423e,NA,14-Aug,baghdad,al.kadhmiyah,11,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
86,a7106bf2-6f3b-4cc9-b8f5-b3c7a65c8773,NA,26-Jul,ninewa,al.baaj,16,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
87,a730ecd0-3148-41cc-be3c-d4688e64abf1,24362,24-Aug,NA,al.hawiga,58,num_hh_member,HH member should not be larger than 13,Flagged,NA,53,NA,3
88,a7c5d9d0-e473-46f0-9d8c-f2acbf0934eb,NA,6-Aug,salah.al.din,balad,11,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
89,a8c097c8-5b13-4960-bc03-6486e99dd2ec,17045,12-Aug,NA,al.shikhan,88,num_hh_member,HH member should not be larger than 13,Flagged,NA,26,26,3
90,aaf8849f-1ce3-4dae-851a-30b7c305fb90,12172,22-Aug,NA,shaqlawa,122,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
91,ad00d308-d0f3-4a63-8fc2-659149150dd8,17734,9-Aug,NA,aqra,96,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
92,aff8edb5-87c9-4df3-bf51-abca1bad0e45,17875,12-Aug,NA,al.shikhan,95,num_hh_member,HH member should not be larger than 13,Flagged,NA,22,22,3
93,b2a13dec-ecfd-43ca-ae47-db1f5b9918b8,32028,6-Aug,NA,zakho,94,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
94,b5134f50-23ab-492b-883a-2b695e8b3a62,17734,9-Aug,NA,aqra,88,num_hh_member,HH member should not be larger than 13,Flagged,NA,20,20,3
95,b633769f-5d1b-407c-8db8-4c5f731d11d0,21971,28-Jul,NA,duhok,94,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
96,b6547d55-892d-4ebc-bb31-998bd97b9dd9,NA,5-Aug,al.anbar,al.kaim,20,num_hh_member,HH member should not be larger than 13,Flagged,NA,19,19,3
97,b69d0c45-1a18-4504-89e9-44e3afa2a12a,17051,13-Aug,NA,al.shikhan,82,num_hh_member,HH member should not be larger than 13,Flagged,NA,19,19,3
98,b7a71e85-2b84-4ba6-b86d-dcc883932e6a,NA,30-Jul,al.anbar,al.rutba,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
99,b9427698-5593-44a3-9021-f03b9ebbf5cc,25945,7-Aug,NA,al.shikhan,89,num_hh_member,HH member should not be larger than 13,Flagged,NA,19,19,3
100,ba5961de-b83f-4008-b9a6-74a12ec7348c,NA,27-Jul,ninewa,al.baaj,10,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
101,c0d4f6ae-c484-4334-aa0d-bce74d5b0257,24580,12-Aug,NA,aqra,85,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
102,c6bd3d2f-d5fb-45c6-8366-cd14a037a4ea,26047,28-Jul,NA,duhok,90,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
103,c72354d9-51ae-471a-91f0-d3c4ca1f179a,8369,30-Jul,NA,sumail,96,num_hh_member,HH member should not be larger than 13,Flagged,NA,21,21,3
104,c90574de-a9b8-4860-80f5-82a4dfe89e23,NA,14-Aug,baghdad,al.kadhmiyah,108,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
104,ba56b44b-dcd3-46ab-9b68-3385858f5445,21264,17-Sep,NA,heet,22,num_hh_member,HH member should not be larger than 13,Flagged,NA,57,NA,3
105,c93d2eb7-d86b-496b-94ba-609fd4579650,NA,22-Jul,baghdad,al.kadhmiyah,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
106,c940b4a5-a099-45f1-a54e-10cbd8bc9e29,33476,25-Aug,NA,daquq,59,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
107,ccc14b51-9fc4-4949-abcb-8407d44b89f2,17734,9-Aug,NA,aqra,93,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
108,cf52dfc6-6813-40d6-824e-ba32b9f72243,33123,27-Jul,NA,al.shirqat,78,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
109,d1126f8c-69ec-4b9f-80c9-ccd60e84c177,NA,27-Jul,ninewa,al.baaj,9,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
110,d2a12e92-6918-4362-bb1e-2fb237c18f52,NA,14-Aug,baghdad,al.adhamiya,22,num_hh_member,HH member should not be larger than 13,Flagged,NA,25,25,3
111,d3ab179e-cd40-4f89-b075-a85a93c3f04c,NA,15-Aug,kerbala,kerbela,11,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
112,d3f83c41-fc8b-432e-b01c-fe2f47ac04bb,32028,6-Aug,NA,zakho,86,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
113,d51d80e8-d113-46ca-ab30-37407fb0e626,NA,27-Jul,ninewa,al.baaj,4,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
114,d5663ccf-11a7-454f-ac16-4616e2443679,17752,8-Aug,NA,al.shikhan,83,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
115,ddc95d24-6263-4072-ae74-7f92877cef8d,17051,12-Aug,NA,al.shikhan,92,num_hh_member,HH member should not be larger than 13,Flagged,NA,23,23,3
116,dfedec41-7b06-45c0-822c-f850082d0a2b,23388,4-Aug,NA,beygee,79,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
117,dff7b122-98c5-4592-a93e-3cf1d950e174,21971,28-Jul,NA,duhok,88,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
118,e15e5ae4-f1cd-4382-8778-770ead4aad3b,NA,26-Jul,baghdad,al.mahmoudiya,27,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
119,e1a5c639-7c58-4648-be26-5a0864903479,NA,30-Jul,al.anbar,al.rutba,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,19,19,3
120,e35d0b97-1a93-4fd6-8e9d-dba75e9f3b40,17333,7-Aug,NA,al.shikhan,83,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
121,e75a9dd8-335a-4fb0-9cb3-e812f2ef7413,26088,9-Sep,NA,al.falluja,14,num_hh_member,HH member should not be larger than 13,Flagged,NA,18,18,3
122,e87448c3-0f94-4bdd-8d5f-16994f5eb14b,24580,10-Aug,NA,aqra,96,num_hh_member,HH member should not be larger than 13,Flagged,NA,26,26,3
123,e8ada87b-9a73-449d-a733-1b3a6ef99595,7896,13-Aug,NA,al.amadiya,89,num_hh_member,HH member should not be larger than 13,Flagged,NA,19,19,3
124,e9d0f336-9735-42c1-9267-9077720c36a3,24580,10-Aug,NA,aqra,98,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
125,ea8e27ea-dabc-48b1-b7e7-70719cf2dc12,17734,9-Aug,NA,aqra,94,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
126,eb3f750c-f527-46ca-bb32-ea9e3d8c473a,32028,6-Aug,NA,zakho,85,num_hh_member,HH member should not be larger than 13,Flagged,NA,20,20,3
127,ec395312-a52f-4bd8-ada7-b47194780e67,17049,11-Aug,NA,al.shikhan,88,num_hh_member,HH member should not be larger than 13,Flagged,NA,17,17,3
128,eccbf52d-49e8-44b9-b7ee-6f79dde81f2b,NA,23-Jul,baghdad,al.kadhmiyah,28,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
129,ee9adc15-d493-46a6-906b-19fd1cabe184,NA,26-Jul,al.sulaymaniyah,al.sulaymaniyah,33,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
130,f39f402a-a1f6-4596-969c-90b9f6ccf748,NA,11-Aug,salah.al.din,samarra,19,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
131,f3f58306-c787-45dd-8714-5d48126c2c82,NA,11-Aug,ninewa,telafar,106,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
132,f5cea5b7-8520-464d-8ed1-cec7b753825f,21453,6-Sep,NA,daquq,54,num_hh_member,HH member should not be larger than 13,Flagged,NA,51,NA,3
133,fc234998-5dc4-48af-8283-ccab50b248e6,7770,13-Aug,NA,al.amadiya,85,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
134,fca73cc6-1670-48bd-bc16-63b3a80e1135,17734,9-Aug,NA,aqra,91,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
135,fd128e79-254b-41b5-ba5f-2a24c810be62,NA,9-Aug,salah.al.din,tikrit,19,num_hh_member,HH member should not be larger than 13,Flagged,NA,15,15,3
136,ffbaadd3-2fd3-436b-b7a2-c1b34ac6e30f,18199,8-Aug,NA,al.shikhan,86,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
137,ffe0bdb6-14d3-4ba0-93f6-87e9dd766ec1,23713,20-Aug,NA,shaqlawa,124,num_hh_member,HH member should not be larger than 13,Flagged,NA,16,16,3
138,0acd9b93-3c40-4408-8557-633a5d0df802,15139,26-Aug,NA,daquq,59,num_family_member,family member should not be bigger than 13,Flagged,NA,16,16,4
138,f727f167-e64c-4a70-8a99-82fefdceb74f,NA,20-Sep,ninewa,tilkaef,106,num_hh_member,HH member should not be larger than 13,Flagged,NA,14,14,3
139,16530c62-645e-4807-abb1-bd6e519f63ff,32031,6-Aug,NA,zakho,93,num_family_member,family member should not be bigger than 13,Flagged,NA,15,15,4
140,16f0d6d0-94ef-411b-aca3-a7d1c7e44715,12597,8-Sep,NA,rawanduz,120,num_family_member,family member should not be bigger than 13,Flagged,NA,14,14,4
141,1d1d0766-c3d0-4a2f-b8aa-400aa8a24c06,NA,15-Aug,al.anbar,ana,107,num_family_member,family member should not be bigger than 13,Flagged,NA,18,18,4
142,1de549e2-d836-4a8a-85f9-f913b0603f6c,NA,27-Jul,ninewa,al.baaj,12,num_family_member,family member should not be bigger than 13,Flagged,NA,15,15,4
143,218c41f4-c918-41ca-beee-ef22eedff2ea,17051,13-Aug,NA,al.shikhan,82,num_family_member,family member should not be bigger than 13,Flagged,NA,15,15,4
144,21f99299-c0bf-4be2-a1c0-b35d0fe9882a,20529,9-Aug,NA,tooz.khurmato,76,num_family_member,family member should not be bigger than 13,Flagged,NA,15,15,4
145,23831354-1f65-4677-9d60-ea24a8679947,17752,8-Aug,NA,tilkaef,89,num_family_member,family member should not be bigger than 13,Flagged,NA,16,16,4
146,294c28ad-8b3e-4c88-bec5-0bf4461d2048,NA,15-Aug,baghdad,al.karkh,18,num_family_member,family member should not be bigger than 13,Flagged,NA,17,17,4
147,295ac2ab-03cf-4b11-936d-a2d3712560af,NA,6-Aug,ninewa,sinjar,106,num_family_member,family member should not be bigger than 13,Flagged,NA,14,14,4
148,3c23c73f-6c89-4b9c-8ada-8e4126e8b742,29614,30-Jul,NA,sumail,97,num_family_member,family member should not be bigger than 13,Flagged,NA,15,15,4
149,414a6be7-2994-4403-be73-0065490e510b,NA,27-Jul,al.sulaymaniyah,chamchamal,36,num_family_member,family member should not be bigger than 13,Flagged,NA,16,16,4
150,424fc1ae-2899-43ee-8563-e2ea681525bf,NA,10-Aug,salah.al.din,samarra,22,num_family_member,family member should not be bigger than 13,Flagged,NA,16,16,4
151,53f27ef7-4b01-4ee0-9c9b-865d41b16ce9,17051,13-Aug,NA,al.shikhan,82,num_family_member,family member should not be bigger than 13,Flagged,NA,14,14,4
152,57e17a6b-9262-4480-a286-e29d139078c6,NA,23-Jul,al.sulaymaniyah,halabcha,36,num_family_member,family member should not be bigger than 13,Flagged,NA,16,16,4
153,58c111a1-9887-433d-bb70-fc636fe07cea,NA,26-Jul,ninewa,al.baaj,3,num_family_member,family member should not be bigger than 13,Flagged,NA,14,14,4
154,641bb68b-32d6-40db-9669-1dc25cb81617,NA,13-Aug,baghdad,al.mahmoudiya,18,num_family_member,family member should not be bigger than 13,Flagged,NA,14,14,4
155,6976af32-0791-4625-bcc2-d156f0969b7b,17051,13-Aug,NA,al.shikhan,87,num_family_member,family member should not be bigger than 13,Flagged,NA,21,21,4
156,6a896d3a-1e47-4bec-aec2-f39823d2b5ab,7770,13-Aug,NA,al.amadiya,85,num_family_member,family member should not be bigger than 13,Flagged,NA,18,18,4
156,44010faa-7146-404f-ac82-9dc62a4b6955,NA,15-Sep,ninewa,al.mosul,106,num_family_member,family member should not be bigger than 13,Flagged,NA,16,16,4
157,6ce5d9b9-f965-444b-bc9c-e8f305e05e2e,17734,9-Aug,NA,aqra,87,num_family_member,family member should not be bigger than 13,Flagged,NA,20,20,4
158,6d666537-e65f-4eef-93bc-85d66f89777c,11206,29-Jul,NA,al.khalis,1,num_family_member,family member should not be bigger than 13,Flagged,NA,15,15,4
159,7fed4221-0ebf-4406-8a23-09315c89a2b5,11206,29-Jul,NA,al.khalis,3,num_family_member,family member should not be bigger than 13,Flagged,NA,15,15,4
160,8e63192c-f1da-4d76-b3f5-1442d6a34cdd,17051,13-Aug,NA,al.shikhan,87,num_family_member,family member should not be bigger than 13,Flagged,NA,15,15,4
